Undergraduate Major,Starting Median Salary,Mid-Career Median Salary
Strategic Communication,44600.0,77500.0
Public Relations (PR),43000.0,77400.0
Natural Sciences,41700.0,77300.0
International Affairs,49100.0,77200.0
Drama,43900.0,77200.0
Network Administration,46900.0,77200.0
Media Studies,48300.0,77100.0
Organizational Development,51600.0,77000.0
Writing,41800.0,77000.0
Integrated Marketing Communications,44600.0,76900.0
Crisis & Emergency Management,46600.0,76800.0
Organizational Communication,44000.0,76800.0
Retailing,48900.0,76800.0
Speech Communication,43900.0,76800.0
Allied Health,41800.0,76700.0
Environmental Biology,43000.0,76700.0
Nuclear Medicine Technology,58900.0,76700.0
Apparel & Textile Manufacture,45700.0,76600.0
Technology Management,53900.0,76500.0
Film Production,42700.0,76400.0
Security Management,44800.0,76400.0
Acting,42200.0,76200.0
Broadcast & Cinematic Arts,41900.0,76200.0
Business Management & Administration,48600.0,76200.0
Marine Biology,40800.0,76200.0
Professional Studies,42100.0,76200.0
Romance Languages,50300.0,76200.0
Computer Animation,44500.0,76100.0
Cytotechnology,58100.0,76000.0
Broadcast Journalism,41100.0,76000.0
Geography,46900.0,76000.0
Journalism & Electronic Media,42100.0,75900.0
Automotive Technology,45800.0,75800.0
Interpersonal Communications,43100.0,75800.0
Law & Society,44400.0,75700.0
Agricultural Business,50300.0,75600.0
Ancient History,43900.0,75600.0
Computer Aided Design (CAD),46500.0,75500.0
Computer Art,41200.0,75500.0
Administration,43100.0,75400.0
Forestry,44700.0,75400.0
Urban Studies,48600.0,75300.0
Business Law,51100.0,75100.0
Radio/Television & Film Production,42800.0,75000.0
Digital Design,48200.0,74800.0
Forensic Science,43800.0,74800.0
Geosciences,46600.0,74800.0
Logistics Management,52800.0,74800.0
Ecology,43500.0,74700.0
English & History,43600.0,74700.0
English Language & Literature,43900.0,74700.0
American Sign Language Interpreting,42500.0,74600.0
Homeland Security,46800.0,74600.0
Zoology,40300.0,74600.0
English Language,42100.0,74500.0
Human Resources Management (HRM),45300.0,74400.0
Technical Writing,52000.0,74300.0
Automotive Technology & Service Management,45400.0,74300.0
Business Technology,49800.0,74100.0
Mass Communication,42700.0,74100.0
Health Sciences,42400.0,74000.0
Organizational Leadership,47400.0,74000.0
Musicology,38100.0,73900.0
Spanish Language,44900.0,73600.0
Historic Preservation,41300.0,73500.0
Music Technology,42900.0,73500.0
Organizational Leadership & Supervision,46400.0,73500.0
Human Nutrition,45500.0,73400.0
Spanish Language Teacher Education,43900.0,73400.0
Botany,40300.0,73300.0
Apparel Merchandising,45400.0,73200.0
Environmental Health Science,51400.0,73100.0
Media & Technology,41400.0,73100.0
